title,price,mrp,code,url
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Sponsored,Sponsored,same as sellprice,Sponsored,Sponsored
Men's Plain Regular fit Polo (19P3DTPE0032I_219_Red_M),419,1199,B07LCR8VKX,https://www.amazon.in/United-Colors-Benetton-Regular-19P3DTPE0032I_219_Red_Medium/dp/B07LCR8VKX/ref=sr_1_5?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-5
Men's Plain Regular fit T-Shirt,349,999,B07LFJXY59,https://www.amazon.in/United-Colors-Benetton-19P3C78J1202I_504_L_Off-White_Large/dp/B07LFJXY59/ref=sr_1_6?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-6
Men's Plain Slim fit Casual Shirt,839,1999,B07L5W15F3,https://www.amazon.in/United-Colors-Benetton-Casual-19P5EC01U008I_903_Navy/dp/B07L5W15F3/ref=sr_1_7?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-7
Men's Sneakers,1080,3699,B07L4YCJCS,https://www.amazon.in/United-Colors-Benetton-Sneakers-11-19P8SNEA3138I_901_40/dp/B07L4YCJCS/ref=sr_1_8?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-8
Men's Printed Regular fit T-Shirt,419,1199,B07LFWS7ML,https://www.amazon.in/United-Colors-Benetton-19P3096E0009I_13C_S_Navy-Blue_Small/dp/B07LFWS7ML/ref=sr_1_9?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-9
Eco Bag 19.5 Ltrs Navy/Grey Casual Backpack (0IP6ECOBPNG2I),370,1499,B07J2M5JJ5,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6ECOBPNG2I/dp/B07J2M5JJ5/ref=sr_1_10?keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-10
Men's Plain Regular fit Polo (19P3DTPE0032I_219_Red_L),419,1199,B07LCQNKQF,https://www.amazon.in/United-Colors-Benetton-Regular-19P3DTPE0032I_219_Red_Large/dp/B07LCQNKQF/ref=sr_1_11?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-11
Men's Printed Regular fit T-Shirt,419,1199,B07LFTY7F5,https://www.amazon.in/United-Colors-Benetton-19P3096E0011I_13C_XL_Navy-Blue_X-Large/dp/B07LFTY7F5/ref=sr_1_12?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-12
Men's Printed Regular fit T-Shirt,349,999,B07LFV3ZS4,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0001I_100_XL_Black_X-Large/dp/B07LFV3ZS4/ref=sr_1_13?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-13
Men's Printed Regular fit T-Shirt,419,1199,B07LFSJMD7,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0013I_101_M_White_Medium/dp/B07LFSJMD7/ref=sr_1_14?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-14
Men's Printed Slim Fit Casual Shirt,1247,2399,B07DMJ5S8V,https://www.amazon.in/United-Colors-Benetton-Printed-18A5FN02U008I_904_M_Off/dp/B07DMJ5S8V/ref=sr_1_15?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-15
Men's Sneakers,1905,3199,B07NLDF4FW,https://www.amazon.in/United-Collors-Benetton-Sneakers-9-19A8SNEAFW52I_908_43/dp/B07NLDF4FW/ref=sr_1_16?dchild=1&keywords=united+colors+of+benetton&qid=1574146055&s=apparel&sr=1-16
