title,price,mrp,code,ASIN,url,,
Men's EVA Flip-Flops and House Slippers,447,499,B00Q43427Y,B07QLXQ5PV,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-Slippers/dp/B00Q43427Y/ref=sr_1_1?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-1,,
Men's Ankle Socks,330,339,B01MRWWGI3,B07QLVVP47,https://www.amazon.in/United-Colors-Benetton-Ankle-AL04I_Blue/dp/B01MRWWGI3/ref=sr_1_2?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-2,,
Men's Printed Regular fit Polo,649,1599,B07LGLMSR5,B07QH9H4PJ,https://www.amazon.in/United-Colors-Benetton-19P3089E0044I_13C_XL_Navy-Blue_X-Large/dp/B07LGLMSR5/ref=sr_1_3?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-3,,
Eco Bag 19.5 Ltrs Navy/Grey Casual Backpack (0IP6ECOBPNG2I),499,1499,B07J2M5JJ5,B07QLXQKKF,https://www.amazon.in/United-Colors-Benetton-Backpack-0IP6ECOBPNG2I/dp/B07J2M5JJ5/ref=sr_1_4?keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-4,,
Men's Baseball Cap,319,1599,B07L4Z4356,B07QH9HNFK,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE058I-203-ST_Navy_One/dp/B07L4Z4356/ref=sr_1_5?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-5,,
Women's Flip-Flops,419,599,B07V56HZPY,B07QLXSY3V,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-6-19A8CFFPL410I/dp/B07V56HZPY/ref=sr_1_6?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-6,,
Men's Printed Regular Fit Polo,776,2099,B07KNMFB8P,B07QH9DZ3G,https://www.amazon.in/United-Colors-Benetton-Printed-18P3SPLJ1012I_901_S_Grey_Small/dp/B07KNMFB8P/ref=sr_1_7?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-7,,
Men's Printed Regular fit T-Shirt,548,1399,B07LFTNJW4,B07QLWNRT2,https://www.amazon.in/United-Colors-Benetton-Printed-19P3096E0017I_100_XL_Black_X-Large/dp/B07LFTNJW4/ref=sr_1_8?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-8,,
Women's Flip-Flops,403,599,B07V8HL7K7,B07QLWFNWS,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-6-19A8CFFPL430I/dp/B07V8HL7K7/ref=sr_1_9?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-9,,
Boy's Sweatshirt,503,1199,B07F8VJ1ZZ,B07QJFN9G5,https://www.amazon.in/United-Colors-Benetton-18A3J68C13QQG_Grey-Melange_Small/dp/B07F8VJ1ZZ/ref=sr_1_10?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-10,,
